label	ot_tag	cpu_layers	threads	kv	split_mode	ctx	ub	run_index	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
thr40_mid	B18	14	40	q8_0	layer	32768	256	8	eval	2	17.689135554056893	38.404715048742304	1097	256
thr40_mid	B18	14	40	q8_0	layer	32768	256	8	eval	3	17.68576879380639	38.36240039938861	1097	256
thr40_mid	B18	14	40	q8_0	layer	32768	256	8	eval	4	17.68925900592307	38.424132793242514	1097	256
thr40_mid	B18	14	40	q8_0	layer	32768	256	8	eval	5	17.68869920829943	38.43551276004716	1097	256
thr40z	B18	14	40	q8_0	layer	32768	256	9	warmup	1	17.65598337137416	20.408108463725927	76	256
thr40z	B18	14	40	q8_0	layer	32768	256	9	warmup	2	17.06568937152199	20.88489291271159	76	256
thr40z	B18	14	40	q8_0	layer	32768	256	9	eval	1	17.549342616021548	38.65005674899398	1097	256
thr40z	B18	14	40	q8_0	layer	32768	256	9	eval	2	17.545076454041357	38.73295705754376	1097	256
thr40z	B18	14	40	q8_0	layer	32768	256	9	eval	3	17.549452093766174	38.70234870336372	1097	256
thr40z	B18	14	40	q8_0	layer	32768	256	9	eval	4	17.548470452008843	38.744944923725264	1097	256
thr40z	B18	14	40	q8_0	layer	32768	256	9	eval	5	17.55049280206986	38.696778569025575	1097	256
