[2026-07-01T04:05:20+09:00] ===== キャンペーン開始 backend=vulkan model=unsloth/Qwen3-8B-GGUF:Q6_K ctx=131072 MAX=120 MIN=20 HANG_SAFETY=5 CAP=86400s TRIAL=720s =====
[2026-07-01T04:05:23+09:00] boot_seq=0 (phase-start-vulkan-c48c4-slot8) gpu_count=4
[2026-07-01T04:05:23+09:00] 初回 llama-server 起動
[2026-07-01T04:05:23+09:00] llama 再起動 (c48c4 SLOT8 stand-alone Vulkan ctx=131072)
[2026-07-01T04:05:38+09:00] /health 確認待機 (最大 300s)
[2026-07-01T04:05:38+09:00]     /health OK (elapsed 5s)
[2026-07-01T17:39:36+09:00] --- trial 63 開始 (elapsed=48838s hangs=0) ---
[2026-07-01T17:52:12+09:00] --- trial 64 開始 (elapsed=49594s hangs=0) ---
[2026-07-01T18:04:47+09:00] --- trial 65 開始 (elapsed=50349s hangs=0) ---
[2026-07-01T18:18:56+09:00] --- trial 66 開始 (elapsed=51198s hangs=0) ---
[2026-07-01T18:32:07+09:00] --- trial 67 開始 (elapsed=51989s hangs=0) ---
[2026-07-01T18:44:49+09:00] --- trial 68 開始 (elapsed=52751s hangs=0) ---
[2026-07-01T18:58:16+09:00] --- trial 69 開始 (elapsed=53557s hangs=0) ---
[2026-07-01T19:11:27+09:00] --- trial 70 開始 (elapsed=54349s hangs=0) ---
[2026-07-01T19:23:54+09:00] --- trial 71 開始 (elapsed=55096s hangs=0) ---
[2026-07-01T19:37:07+09:00] --- trial 72 開始 (elapsed=55889s hangs=0) ---
[2026-07-01T19:50:49+09:00] --- trial 73 開始 (elapsed=56711s hangs=0) ---
[2026-07-01T20:03:13+09:00] --- trial 74 開始 (elapsed=57455s hangs=0) ---
[2026-07-01T20:17:08+09:00] --- trial 75 開始 (elapsed=58290s hangs=0) ---
[2026-07-01T20:31:17+09:00] --- trial 76 開始 (elapsed=59139s hangs=0) ---
[2026-07-01T20:44:28+09:00] --- trial 77 開始 (elapsed=59930s hangs=0) ---
[2026-07-01T20:57:53+09:00] --- trial 78 開始 (elapsed=60735s hangs=0) ---
[2026-07-01T21:10:55+09:00] --- trial 79 開始 (elapsed=61517s hangs=0) ---
[2026-07-01T21:24:44+09:00] --- trial 80 開始 (elapsed=62345s hangs=0) ---
[2026-07-01T21:37:09+09:00] --- trial 81 開始 (elapsed=63091s hangs=0) ---
[2026-07-01T21:51:04+09:00] --- trial 82 開始 (elapsed=63926s hangs=0) ---
[2026-07-01T22:03:56+09:00] --- trial 83 開始 (elapsed=64698s hangs=0) ---
[2026-07-01T22:16:39+09:00] --- trial 84 開始 (elapsed=65461s hangs=0) ---
[2026-07-01T22:30:02+09:00] --- trial 85 開始 (elapsed=66264s hangs=0) ---
[2026-07-01T22:42:33+09:00] --- trial 86 開始 (elapsed=67015s hangs=0) ---
[2026-07-01T22:55:33+09:00] --- trial 87 開始 (elapsed=67795s hangs=0) ---
[2026-07-01T23:08:20+09:00] --- trial 88 開始 (elapsed=68562s hangs=0) ---
[2026-07-01T23:21:44+09:00] --- trial 89 開始 (elapsed=69366s hangs=0) ---
[2026-07-01T23:33:51+09:00] --- trial 90 開始 (elapsed=70092s hangs=0) ---
[2026-07-01T23:47:15+09:00] --- trial 91 開始 (elapsed=70896s hangs=0) ---
[2026-07-01T23:59:55+09:00] --- trial 92 開始 (elapsed=71657s hangs=0) ---
[2026-07-02T00:13:53+09:00] --- trial 93 開始 (elapsed=72495s hangs=0) ---
