epoch,pkg0_uj,pkg1_uj,dram0_uj,dram1_uj
1787056652,235781481480,184909780963,35639853155,29561889400
1787056662,235923993139,185011427309,35660629958,29582777006
1787056673,236082500973,185125508194,35690505763,29605019166
1787056683,236241149249,185239684171,35720778312,29627415658
1787056693,236400406837,185354118998,35750911815,29649704423
1787056703,236559117185,185468251518,35780916951,29671855595
1787056713,236707584517,185574951501,35803533702,29693325090
1787056723,236857980922,185682676262,35827674012,29714963895
1787056733,237015875659,185796918767,35854226917,29737241858
1787056743,237174412302,185911373675,35883103311,29759427241
1787056753,237331861789,186025406647,35908869199,29781774467
1787056763,237488112487,186138448289,35936247784,29803673448
1787056773,237640832006,186247888865,35959119448,29825726042
1787056783,237798341246,186361967248,35985011607,29848020330
